Gene_B	Co_Occurrence_Count	P_Value	Log2OR	P_Value_FDR	FDR
LYN	2	0.760931553403708	10.0	1.0	1.0
LZTR1	1	0.8723536737235368	10.0	1.0	1.0
MALT1	0	1.0	-10.0	1.0	1.0
MAP2K1	1	0.9837757940433655	-2.7787857698608334	1.0	1.0
MAP2K2	5	0.5047385633579959	10.0	1.0	1.0
MAP2K4	12	0.7390051974572494	-0.18953246607506008	1.0	1.0
MAP3K1	4	0.9694491339842056	-1.782780388224287	1.0	1.0
MAP3K13	7	0.38372032052413657	10.0	1.0	1.0
MAPK3	1	0.8723536737235368	10.0	1.0	1.0
MAPKAP1	1	0.8723536737235368	10.0	1.0	1.0
MCL1	1	0.9837757940433655	-2.7787857698608334	1.0	1.0
MDC1	4	0.9933971107771034	-2.3748673233788247	1.0	1.0
MDM2	0	1.0	-10.0	1.0	1.0
MDM4	1	0.8723536737235368	10.0	1.0	1.0
MED12	13	0.1682286863591016	10.0	1.0	1.0
MEF2B	4	0.9694491339842056	-1.782780388224287	1.0	1.0
MEN1	2	1.0	-7.966663010003143	1.0	1.0
MET	5	0.988102795707504	-2.0519061492916513	1.0	1.0
MGA	11	0.9670072680421602	-1.330385857794644	1.0	1.0
MITF	1	0.8723536737235368	10.0	1.0	1.0
MLH1	7	0.38372032052413657	10.0	1.0	1.0
MLL	3	0.6636803261918875	10.0	1.0	1.0
MLL2	5	0.8278847391493424	-0.45272978935079433	1.0	1.0
MLL3	7	0.38372032052413657	10.0	1.0	1.0
MLL4	2	0.760931553403708	10.0	1.0	1.0
MPL	2	0.760931553403708	10.0	1.0	1.0
MRE11A	1	0.9837757940433655	-2.7787857698608334	1.0	1.0
MSH2	3	0.9831532694880097	-2.198850227469104	1.0	1.0
MSH3	5	0.5047385633579959	10.0	1.0	1.0
MSH6	9	0.2916106963939565	10.0	1.0	1.0
MSI1	1	0.9837757940433655	-2.7787857698608334	1.0	1.0
MSI2	1	0.9837757940433655	-2.7787857698608334	1.0	1.0
MST1	2	0.760931553403708	10.0	1.0	1.0
MST1R	3	0.9968574049918139	-2.7909371626236417	1.0	1.0
MTAP	1	0.8723536737235368	10.0	1.0	1.0
MTOR	6	0.9295193647987494	-1.1957509888102174	1.0	1.0
MYC	1	0.8723536737235368	10.0	1.0	1.0
MYCL	1	0.9837757940433655	-2.7787857698608334	1.0	1.0
MYCL1	1	0.8723536737235368	10.0	1.0	1.0
MYCN	3	0.9968574049918139	-2.7909371626236417	1.0	1.0
MYD88	1	0.8723536737235368	10.0	1.0	1.0
MYOD1	5	0.5047385633579959	10.0	1.0	1.0
NBN	2	0.9554340078273491	-1.7777549051932577	1.0	1.0
NCOA3	7	0.7280847107381054	0.034765418160676624	1.0	1.0
NCOR1	7	0.9039303568048127	-0.9723240066256429	1.0	1.0
NEGR1	3	0.918305030251782	-1.1917608026827846	1.0	1.0
NF1	9	0.9442924964429438	-1.1997695123757774	1.0	1.0
NF2	2	0.9554340078273491	-1.7777549051932577	1.0	1.0
NFE2L2	7	0.38372032052413657	10.0	1.0	1.0
NFKBIA	2	0.760931553403708	10.0	1.0	1.0
NKX2-1	3	0.9968574049918139	-2.7909371626236417	1.0	1.0
NOTCH1	14	0.4108281998369215	1.042028191705497	1.0	1.0
NOTCH2	5	0.9514881513895324	-1.4598192141371136	1.0	1.0
NOTCH3	16	0.7832734840517661	-0.36242127890591214	1.0	1.0
NOTCH4	5	0.9514881513895324	-1.4598192141371136	1.0	1.0
NRAS	3	0.9999093455365333	-3.542258049766918	1.0	1.0
NSD1	5	0.8278847391493424	-0.45272978935079433	1.0	1.0
NTHL1	1	0.9837757940433655	-2.7787857698608334	1.0	1.0
NTRK1	5	0.988102795707504	-2.0519061492916513	1.0	1.0
NTRK2	7	0.7280847107381054	0.034765418160676624	1.0	1.0
NTRK3	14	0.4108281998369215	1.042028191705497	1.0	1.0
NUF2	1	0.9837757940433655	-2.7787857698608334	1.0	1.0
NUP93	3	0.6636803261918875	10.0	1.0	1.0
PAK1	1	0.8723536737235368	10.0	1.0	1.0
PAK7	3	0.9831532694880097	-2.198850227469104	1.0	1.0
PALB2	8	0.6778430975761889	0.22844579937024265	1.0	1.0
PARK2	9	0.6285059592911699	0.39940684756507955	1.0	1.0
PARP1	3	0.9831532694880097	-2.198850227469104	1.0	1.0
PAX5	3	0.918305030251782	-1.1917608026827846	1.0	1.0
PBRM1	17	0.9797924372226522	-1.2955032665638926	1.0	1.0
PDCD1	4	0.8750728707609635	-0.7756909634379676	1.0	1.0
PDGFRA	7	0.38372032052413657	10.0	1.0	1.0
PDGFRB	5	0.9514881513895324	-1.4598192141371136	1.0	1.0
PDPK1	1	0.8723536737235368	10.0	1.0	1.0
PGBD5	5	0.9514881513895324	-1.4598192141371136	1.0	1.0
PGR	9	0.843814961894652	-0.6076825772212398	1.0	1.0
PHF6	1	0.8723536737235368	10.0	1.0	1.0
PHOX2B	4	0.5788054248385894	10.0	1.0	1.0
PIK3C2G	10	0.9755296031909316	-1.4689269184759481	1.0	1.0
PIK3C3	4	0.8750728707609635	-0.7756909634379676	1.0	1.0
PIK3CA	33	0.47988412251613766	0.2775932956514842	1.0	1.0
PIK3CB	5	0.8278847391493424	-0.45272978935079433	1.0	1.0
PIK3CD	4	0.9694491339842056	-1.782780388224287	1.0	1.0
PIK3CG	7	0.9039303568048127	-0.9723240066256429	1.0	1.0
PIK3R1	7	0.9709873376780906	-1.5644109417801804	1.0	1.0
PIK3R2	3	0.9968574049918139	-2.7909371626236417	1.0	1.0
PIK3R3	1	0.8723536737235368	10.0	1.0	1.0
PIM1	2	0.760931553403708	10.0	1.0	1.0
PLCG2	6	0.4401093281997268	10.0	1.0	1.0
PLK2	3	0.9831532694880097	-2.198850227469104	1.0	1.0
PMS1	2	0.760931553403708	10.0	1.0	1.0
PMS2	3	0.918305030251782	-1.1917608026827846	1.0	1.0
PNRC1	1	0.8723536737235368	10.0	1.0	1.0
POLD1	6	0.7784433742532664	-0.1886615640238981	1.0	1.0
POLE	12	0.7390051974572494	-0.18953246607506008	1.0	1.0
POT1	1	0.8723536737235368	10.0	1.0	1.0
PPARG	3	0.6636803261918875	10.0	1.0	1.0
PPM1D	2	0.9925629854029163	-2.784844329979577	1.0	1.0
PPP2R1A	2	0.9998254915233741	-3.799128555985825	1.0	1.0
PPP4R2	1	0.9837757940433655	-2.7787857698608334	1.0	1.0
PPP6C	1	0.8723536737235368	10.0	1.0	1.0
PRDM1	3	0.9831532694880097	-2.198850227469104	1.0	1.0
PRDM14	3	0.918305030251782	-1.1917608026827846	1.0	1.0
PREX2	27	0.26306555034512363	0.9960571305305446	1.0	1.0
PRKAR1A	1	0.9999994955962868	-5.399548992009836	1.0	1.0
PRKCI	6	0.7784433742532664	-0.1886615640238981	1.0	1.0
PRKD1	5	0.9973595643586057	-2.4741034401433613	1.0	1.0
PTCH1	2	0.9988361293461874	-3.3769312651341146	1.0	1.0
PTEN	9	0.9999966064451863	-2.9876162755441675	1.0	1.0
PTP4A1	0	1.0	-10.0	1.0	1.0
PTPN11	4	0.5788054248385894	10.0	1.0	1.0
PTPRD	15	0.37452576216185224	1.1426043954428005	1.0	1.0
PTPRS	23	0.8633371327004954	-0.582870121759916	1.0	1.0
PTPRT	19	0.925174462335385	-0.8626862920573107	1.0	1.0
RAC1	1	0.8723536737235368	10.0	1.0	1.0
RAC2	3	0.6636803261918875	10.0	1.0	1.0
RAD21	2	0.9554340078273491	-1.7777549051932577	1.0	1.0
RAD50	7	0.9039303568048127	-0.9723240066256429	1.0	1.0
RAD51B	0	1.0	-10.0	1.0	1.0
RAD51C	1	0.9837757940433655	-2.7787857698608334	1.0	1.0
RAD51D	2	0.760931553403708	10.0	1.0	1.0
RAD52	1	0.8723536737235368	10.0	1.0	1.0
RAD54L	5	0.5047385633579959	10.0	1.0	1.0
RAF1	2	0.9554340078273491	-1.7777549051932577	1.0	1.0
RARA	4	0.9694491339842056	-1.782780388224287	1.0	1.0
RASA1	3	0.9831532694880097	-2.198850227469104	1.0	1.0
RB1	38	0.5242700380681025	0.15728576152573834	1.0	1.0
RBM10	43	0.14105506112179947	1.0922459724880047	1.0	1.0
RECQL	4	0.8750728707609635	-0.7756909634379676	1.0	1.0
RECQL4	7	0.38372032052413657	10.0	1.0	1.0
REL	4	0.5788054248385894	10.0	1.0	1.0
REST	1	0.8723536737235368	10.0	1.0	1.0
RET	11	0.9080293168384732	-0.9081885669429342	1.0	1.0
RFWD2	6	0.7784433742532664	-0.1886615640238981	1.0	1.0
RHEB	3	0.6636803261918875	10.0	1.0	1.0
RHOA	4	0.8750728707609635	-0.7756909634379676	1.0	1.0
RICTOR	13	0.8631614554405023	-0.6651031524065302	1.0	1.0
RNF43	94	0.04114139492802071	1.0245471239042099	1.0	1.0
ROS1	11	0.7752246516103688	-0.31610163178839623	1.0	1.0
RPS6KA4	2	0.760931553403708	10.0	1.0	1.0
RPS6KB2	2	0.760931553403708	10.0	1.0	1.0
RPTOR	5	0.9514881513895324	-1.4598192141371136	1.0	1.0
RRAGC	0	1.0	-10.0	1.0	1.0
RRAS	0	1.0	-10.0	1.0	1.0
RRAS2	1	0.8723536737235368	10.0	1.0	1.0
RTEL1	4	0.5788054248385894	10.0	1.0	1.0
RTEL1-TNFRSF6B	4	0.5788054248385894	10.0	1.0	1.0
RUNX1	5	0.5047385633579959	10.0	1.0	1.0
RXRA	4	0.8750728707609635	-0.7756909634379676	1.0	1.0
RYBP	1	0.8723536737235368	10.0	1.0	1.0
SDHA	2	0.9554340078273491	-1.7777549051932577	1.0	1.0
SDHC	1	0.8723536737235368	10.0	1.0	1.0
SDHD	1	0.8723536737235368	10.0	1.0	1.0
SESN2	4	0.5788054248385894	10.0	1.0	1.0
SESN3	2	0.9554340078273491	-1.7777549051932577	1.0	1.0
SETD2	15	0.9999741250710921	-2.389339722978865	1.0	1.0
SETDB1	1	0.9837757940433655	-2.7787857698608334	1.0	1.0
SF3B1	30	0.07829503556465767	2.1583030818007884	1.0	1.0
SH2B3	5	0.8278847391493424	-0.45272978935079433	1.0	1.0
SH2D1A	1	0.8723536737235368	10.0	1.0	1.0
SHQ1	1	0.8723536737235368	10.0	1.0	1.0
SLFN11	2	0.760931553403708	10.0	1.0	1.0
SLX4	3	0.918305030251782	-1.1917608026827846	1.0	1.0
SMAD2	4	0.9933971107771034	-2.3748673233788247	1.0	1.0
SMAD3	27	0.024246283337795552	10.0	1.0	1.0
SMAD4	314	3.4342248429830605e-05	1.264752743511063	0.005288706258193913	0.005288706258193913
SMARCA2	1	0.9837757940433655	-2.7787857698608334	1.0	1.0
SMARCA4	36	0.5721921889724175	0.07716786052245996	1.0	1.0
SMARCB1	3	0.918305030251782	-1.1917608026827846	1.0	1.0
SMARCD1	2	0.760931553403708	10.0	1.0	1.0
SMARCE1	1	0.8723536737235368	10.0	1.0	1.0
SMO	2	0.9925629854029163	-2.784844329979577	1.0	1.0
SMYD3	1	0.9837757940433655	-2.7787857698608334	1.0	1.0
SOCS1	0	1.0	-10.0	1.0	1.0
SOS1	7	0.38372032052413657	10.0	1.0	1.0
SOX17	3	0.6636803261918875	10.0	1.0	1.0
SOX2	2	0.760931553403708	10.0	1.0	1.0
SOX9	10	0.9273151129391756	-1.0467296276242382	1.0	1.0
SPEN	8	0.9880034698358116	-1.7929278514223244	1.0	1.0
SPOP	2	0.9554340078273491	-1.7777549051932577	1.0	1.0
SPRED1	5	0.9514881513895324	-1.4598192141371136	1.0	1.0
SRC	8	0.3345254076364267	10.0	1.0	1.0
STAG2	6	0.4401093281997268	10.0	1.0	1.0
STAT5A	1	0.8723536737235368	10.0	1.0	1.0
STAT5B	3	0.918305030251782	-1.1917608026827846	1.0	1.0
STK11	25	0.6920823774555083	-0.1313568737484446	1.0	1.0
STK19	1	0.8723536737235368	10.0	1.0	1.0
STK40	1	0.8723536737235368	10.0	1.0	1.0
SUZ12	4	0.5788054248385894	10.0	1.0	1.0
SYK	5	0.8278847391493424	-0.45272978935079433	1.0	1.0
TAP1	2	0.760931553403708	10.0	1.0	1.0
TAP2	4	0.5788054248385894	10.0	1.0	1.0
TBX3	6	0.9295193647987494	-1.1957509888102174	1.0	1.0
TCEB1	1	0.8723536737235368	10.0	1.0	1.0
TCF3	5	0.5047385633579959	10.0	1.0	1.0
TCF7L2	2	0.760931553403708	10.0	1.0	1.0
TEK	1	0.9997412544008593	-4.37796212980169	1.0	1.0
TERT	8	0.9880034698358116	-1.7929278514223244	1.0	1.0
TET1	4	0.9694491339842056	-1.782780388224287	1.0	1.0
TET2	10	0.9273151129391756	-1.0467296276242382	1.0	1.0
TGFBR1	36	0.5721921889724175	0.07716786052245996	1.0	1.0
TGFBR2	63	0.022300371540367677	1.664666504889094	1.0	1.0
TMEM127	2	0.9554340078273491	-1.7777549051932577	1.0	1.0
TMPRSS2	1	0.9837757940433655	-2.7787857698608334	1.0	1.0
TNFAIP3	2	0.9925629854029163	-2.784844329979577	1.0	1.0
TOP1	6	0.7784433742532664	-0.1886615640238981	1.0	1.0
TP53	1103	3.405225536157002e-47	3.2998621535337787	1.573214197704535e-44	1.573214197704535e-44
TP53BP1	5	0.9973595643586057	-2.4741034401433613	1.0	1.0
TP63	5	0.5047385633579959	10.0	1.0	1.0
TRAF2	6	0.7784433742532664	-0.1886615640238981	1.0	1.0
TRAF7	6	0.7784433742532664	-0.1886615640238981	1.0	1.0
TRIP13	1	0.8723536737235368	10.0	1.0	1.0
TSC1	7	0.9922052420270915	-1.9866082326318903	1.0	1.0
TSC2	12	0.9999999999868145	-3.5636370855957904	1.0	1.0
TSHR	7	0.38372032052413657	10.0	1.0	1.0
U2AF1	30	0.07829503556465767	2.1583030818007884	1.0	1.0
UPF1	5	0.5047385633579959	10.0	1.0	1.0
USP8	0	1.0	-10.0	1.0	1.0
VEGFA	2	0.760931553403708	10.0	1.0	1.0
VHL	0	1.0	-10.0	1.0	1.0
VTCN1	4	0.5788054248385894	10.0	1.0	1.0
WHSC1	4	0.9933971107771034	-2.3748673233788247	1.0	1.0
WHSC1L1	4	0.9694491339842056	-1.782780388224287	1.0	1.0
WT1	6	0.4401093281997268	10.0	1.0	1.0
WWTR1	3	0.6636803261918875	10.0	1.0	1.0
XIAP	3	0.6636803261918875	10.0	1.0	1.0
XPO1	5	0.8278847391493424	-0.45272978935079433	1.0	1.0
XRCC2	2	0.760931553403708	10.0	1.0	1.0
YAP1	1	0.9837757940433655	-2.7787857698608334	1.0	1.0
YES1	2	0.760931553403708	10.0	1.0	1.0
ZFHX3	15	0.9880170900361881	-1.4781588267062025	1.0	1.0
ZNRF3	1	0.9837757940433655	-2.7787857698608334	1.0	1.0
ZRSR2	2	0.9925629854029163	-2.784844329979577	1.0	1.0
