Cluster_ID	Meta_Term	Best_P-value	Aggregated_Terms	All_Genes	N_Terms_Merged
0	Pathways in cancer	4.3299004551866205e-16	Pathways in cancer | positive regulation of intracellular signal transduction (GO:1902533)	MSH3;SOX9;ARAF;SMO;PDGFRA;GATA3;MLH1;EP300;FGFR4;NTRK2;IGF2;FLT3;RUNX1;JAK3;TEK;IL7R;CBL;MET;RPTOR;FGF4;FH;TGFBR1;ALK;PLCG2	2
0	regulation of kinase activity (GO:0043549)	3.142892038116031e-15	regulation of kinase activity (GO:0043549) | positive regulation of transferase activity (GO:0051347) | positive regulation of phosphorylation (GO:0042327) | protein tyrosine kinase activity (GO:0004713) | positive regulation of kinase activity (GO:0033674) | transmembrane receptor protein kinase activity (GO:0019199) | transmembrane receptor protein tyrosine kinase activity (GO:0004714) | enzyme linked receptor protein signaling pathway (GO:0007167) | transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169) | Ras signaling pathway | protein phosphorylation (GO:0006468) | protein autophosphorylation (GO:0046777) | integral component of plasma membrane (GO:0005887) | regulation of ERK1 and ERK2 cascade (GO:0070372)	MAP3K1;NBN;BTK;GRIN2A;PTPRT;SOX9;ROS1;PDGFRA;FGFR4;NTRK2;IGF2;FLT3;CDK12;JAK3;FAT1;TEK;RAD50;CBL;MET;FGF4;EPHA5;HLA-A;TGFBR1;ALK;PLCG2;TSHR	14
0	regulation of cell population proliferation (GO:0042127)	3.048886966725845e-13	regulation of cell population proliferation (GO:0042127) | regulation of protein kinase B signaling (GO:0051896) | regulation of gene expression (GO:0010468) | positive regulation of cell population proliferation (GO:0008284) | positive regulation of cellular process (GO:0048522)	MYCN;CTCF;INHBA;SOX9;SMO;PDGFRA;GATA3;EP300;FGFR4;TSC1;NTRK2;IGF2;FLT3;RUNX1;TEK;BCL6;IL7R;ARID2;MET;RPTOR;PRDM1;FGF4;SH2B3;TGFBR1;ALK;PHOX2B;PLCG2;TSHR	5
1	positive regulation of phosphorylation (GO:0042327)	2.058214704318434e-15	positive regulation of phosphorylation (GO:0042327) | transmembrane receptor protein kinase activity (GO:0019199) | Pathways in cancer | transmembrane receptor protein tyrosine kinase activity (GO:0004714) | regulation of kinase activity (GO:0043549) | PI3K-Akt signaling pathway | MAPK signaling pathway | transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169) | enzyme linked receptor protein signaling pathway (GO:0007167) | regulation of protein phosphorylation (GO:0001932) | positive regulation of intracellular signal transduction (GO:1902533) | protein tyrosine kinase activity (GO:0004713) | positive regulation of cell population proliferation (GO:0008284) | positive regulation of kinase activity (GO:0033674) | regulation of cell population proliferation (GO:0042127) | positive regulation of transferase activity (GO:0051347) | peptidyl-tyrosine modification (GO:0018212) | positive regulation of cellular process (GO:0048522) | peptidyl-tyrosine phosphorylation (GO:0018108) | positive regulation of protein phosphorylation (GO:0001934) | Rap1 signaling pathway | positive regulation of protein modification process (GO:0031401) | Ras signaling pathway | regulation of ERK1 and ERK2 cascade (GO:0070372) | Calcium signaling pathway | integral component of plasma membrane (GO:0005887)	RB1;CCND2;FLT4;PRKD1;BRD4;NKX3-1;ERBB4;FGFR3;PTPRD;IRS1;EPHB1;EPAS1;AR;NF1;EPHA7;TGFBR2;FGF3;NSD1;AXIN2;PDGFRB;HGF;MTOR;MAP2K4;FLT1;YAP1;NOTCH2;TP53;EPHA3;FGF19;BRCA1;ESR1	26
1	Breast cancer	1.2331619700995766e-12	Breast cancer | Gastric cancer | regulation of gene expression (GO:0010468) | Chemical carcinogenesis	RB1;FGF3;TP53;AXIN2;TGFBR2;NSD1;PGR;HGF;FLT4;KDM6A;MTOR;FGF19;NKX3-1;BRCA1;AR;YAP1;ESR1;NOTCH2	4
1	protein autophosphorylation (GO:0046777)	1.914695328104103e-09	protein autophosphorylation (GO:0046777) | positive regulation of phosphatidylinositol 3-kinase activity (GO:0043552) | positive regulation of lipid kinase activity (GO:0090218) | regulation of phosphatidylinositol 3-kinase activity (GO:0043551) | protein phosphorylation (GO:0006468) | positive regulation of MAPK cascade (GO:0043410)	ERBB4;FGFR3;TGFBR2;ATR;PDGFRB;PRKD1;FLT4;EPHA3;MTOR;FGF19;IRS1;EPHB1;FLT1;NOTCH2	6
2	transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	1.7588716092842697e-11	transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169) | protein tyrosine kinase activity (GO:0004713) | transmembrane receptor protein kinase activity (GO:0019199) | transmembrane receptor protein tyrosine kinase activity (GO:0004714) | enzyme linked receptor protein signaling pathway (GO:0007167) | regulation of kinase activity (GO:0043549) | regulation of cell population proliferation (GO:0042127) | MAPK cascade (GO:0000165) | positive regulation of kinase activity (GO:0033674) | peptidyl-tyrosine modification (GO:0018212) | regulation of protein kinase B signaling (GO:0051896) | PI3K-Akt signaling pathway | peptidyl-tyrosine phosphorylation (GO:0018108) | positive regulation of transferase activity (GO:0051347) | protein autophosphorylation (GO:0046777) | positive regulation of protein kinase B signaling (GO:0051897) | regulation of phosphatidylinositol 3-kinase signaling (GO:0014066) | positive regulation of phosphorylation (GO:0042327) | regulation of MAPK cascade (GO:0043408) | positive regulation of intracellular signal transduction (GO:1902533) | integral component of plasma membrane (GO:0005887)	EGFR;STK11;DOT1L;MEN1;PIK3R2;KIT;AXL;ERBB3;TSC2;APC;FGFR2;DDR2;SPRED1;TBX3;JAK2;CD79B	21
2	Pathways in cancer	3.246085815569754e-10	Pathways in cancer | Breast cancer | Regulation of actin cytoskeleton	EGFR;CREBBP;JAK2;CXCR4;PIK3R2;KIT;BRCA2;FGFR2;APC;PTCH1;KEAP1	3
2	intracellular membrane-bounded organelle (GO:0043231)	9.081709903640826e-09	intracellular membrane-bounded organelle (GO:0043231) | nucleus (GO:0005634) | DNA binding (GO:0003677) | regulation of transcription by RNA polymerase II (GO:0006357) | positive regulation of transcription by RNA polymerase II (GO:0045944) | positive regulation of transcription, DNA-templated (GO:0045893) | regulation of transcription, DNA-templated (GO:0006355)	EGFR;CREBBP;DOT1L;LATS2;MEN1;PIK3R2;STAG2;SMARCA4;STK11;GATA1;KIT;DICER1;UPF1;BRCA2;AXL;TSC2;APC;FGFR2;ARID5B;POLD1;JAK2;HNF1A;PRDM14;PTCH1;TBX3	7
3	Hepatocellular carcinoma	1.282551155227773e-09	Hepatocellular carcinoma | Colorectal cancer | Pathways in cancer | Endometrial cancer | Human papillomavirus infection | Signaling pathways regulating pluripotency of stem cells | Breast cancer | Cellular senescence | Prostate cancer | Insulin resistance | Human T-cell leukemia virus 1 infection | Melanoma | Glioma | Focal adhesion | PI3K-Akt signaling pathway | Gastric cancer | mTOR signaling pathway | Diabetic cardiomyopathy | Human cytomegalovirus infection | Alzheimer disease	ARID1B;ARID1A;TCF3;NOTCH3;PIK3R1;PIK3CG;AXIN1;PIK3CA;GSK3B;FOXO1;KDR;CDKN2A;KLF4;ATM;MSH6;PTEN;MSH2	20
3	nucleus (GO:0005634)	1.4323423849495902e-09	nucleus (GO:0005634) | intracellular membrane-bounded organelle (GO:0043231) | regulation of transcription by RNA polymerase II (GO:0006357)	SETD2;DNMT3B;ASXL1;GSK3B;SOX17;ATM;NF2;MSH6;PTEN;ARID1B;PPM1D;TCF3;PIK3R1;MALT1;AXIN1;TET2;CUL3;CDKN2A;LATS1;REL;POLE;FANCA;BAP1;MGA;PMS1;KLF4;ARID1A;FUBP1;FOXO1;WT1;MSH2	3
3	regulation of phosphatidylinositol 3-kinase signaling (GO:0014066)	6.369927990955369e-08	regulation of phosphatidylinositol 3-kinase signaling (GO:0014066) | phosphatidylinositol 3-kinase complex, class I (GO:0097651) | Central carbon metabolism in cancer | positive regulation of phosphatidylinositol 3-kinase signaling (GO:0014068) | phosphatidylinositol 3-kinase signaling (GO:0014065) | phosphatidylinositol-mediated signaling (GO:0048015) | regulation of protein kinase B signaling (GO:0051896) | phosphatidylinositol metabolic process (GO:0046488) | phosphatidylinositol phosphate biosynthetic process (GO:0046854) | Neurotrophin signaling pathway | positive regulation of intracellular signal transduction (GO:1902533) | phosphatidylinositol biosynthetic process (GO:0006661) | transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169) | inositol lipid-mediated signaling (GO:0048017) | VEGF signaling pathway | vascular endothelial growth factor receptor signaling pathway (GO:0048010) | Inositol phosphate metabolism | glycerophospholipid biosynthetic process (GO:0046474) | Chemokine signaling pathway | Kaposi sarcoma-associated herpesvirus infection | PD-L1 expression and PD-1 checkpoint pathway in cancer | Small cell lung cancer | Phosphatidylinositol signaling system | Ras signaling pathway | axonogenesis (GO:0007409) | Cholinergic synapse | positive regulation of signal transduction (GO:0009967) | Sphingolipid signaling pathway | regulation of protein phosphorylation (GO:0001932) | Platelet activation | Autophagy | Fluid shear stress and atherosclerosis | MAPK cascade (GO:0000165) | Phospholipase D signaling pathway | positive regulation of protein kinase B signaling (GO:0051897) | Proteoglycans in cancer | Rap1 signaling pathway | phosphate-containing compound metabolic process (GO:0006796)	NTRK3;NOTCH3;ASXL1;PIK3R1;PIK3CG;PIK3CA;GSK3B;MALT1;FOXO1;AXIN1;CUL3;IDH1;KDR;REL;PTEN	38
4	regulation of histone H3-K4 methylation (GO:0051569)	1.0065020575858948e-08	regulation of histone H3-K4 methylation (GO:0051569) | positive regulation of histone H3-K4 methylation (GO:0051571) | positive regulation of histone methylation (GO:0031062) | negative regulation of histone methylation (GO:0031061) | protein-containing complex assembly (GO:0065003)	TERT;BCOR;DNMT1;KMT2A;CTNNB1	5
4	positive regulation of nucleic acid-templated transcription (GO:1903508)	3.8862208673259134e-06	positive regulation of nucleic acid-templated transcription (GO:1903508) | positive regulation of transcription, DNA-templated (GO:0045893) | positive regulation of transcription by RNA polymerase II (GO:0045944) | nucleus (GO:0005634) | regulation of transcription, DNA-templated (GO:0006355) | intracellular membrane-bounded organelle (GO:0043231) | regulation of transcription by RNA polymerase II (GO:0006357)	EZH1;CHEK2;TERT;FOXP1;BCOR;DNMT1;PIM1;KMT2A;RBM10;ZFHX3;NFE2L2;TP63;DAXX;GLI1;XIAP;ASXL2;CTNNB1;KDM5A	7
4	Pathways in cancer	5.002627386333152e-06	Pathways in cancer | regulation of apoptotic process (GO:0042981) | negative regulation of programmed cell death (GO:0043069) | negative regulation of apoptotic process (GO:0043066) | regulation of cell population proliferation (GO:0042127) | regulation of canonical Wnt signaling pathway (GO:0060828)	NTRK1;PBRM1;TERT;PIM1;RASA1;NFE2L2;TP63;XIAP;GLI1;DAXX;CTNNB1	6
5	FoxO signaling pathway	1.4547495929533376e-08	FoxO signaling pathway | Chronic myeloid leukemia | Colorectal cancer | Insulin signaling pathway | Gastric cancer | Hepatitis B | Alzheimer disease | Hepatocellular carcinoma | negative regulation of apoptotic process (GO:0043066) | cytokine-mediated signaling pathway (GO:0019221)	PIK3C3;SMAD4;BRAF;NRAS;IRS2;IL10;PLK2;CSF1R;NOTCH1	10
5	positive regulation of transcription by RNA polymerase II (GO:0045944)	9.684863044739988e-08	positive regulation of transcription by RNA polymerase II (GO:0045944) | positive regulation of transcription, DNA-templated (GO:0045893) | regulation of transcription by RNA polymerase II (GO:0006357) | negative regulation of transcription by RNA polymerase II (GO:0000122) | negative regulation of cellular process (GO:0048523) | intracellular membrane-bounded organelle (GO:0043231) | negative regulation of transcription, DNA-templated (GO:0045892) | regulation of transcription, DNA-templated (GO:0006355) | nucleus (GO:0005634)	SMAD4;NOTCH4;PPP2R1A;BRAF;ATRX;NCOA3;FBXW7;RET;PARP1;IL10;CIC;PLK2;TET1;CSF1R;ETV6;FLCN;NOTCH1;KMT2D	9
5	hemopoiesis (GO:0030097)	1.252911620126659e-07	hemopoiesis (GO:0030097) | cell-cell junction organization (GO:0045216) | Viral protein interaction with cytokine and cytokine receptor	NOTCH4;IL10;CSF1R;ETV6;FLCN	3
